data1,data2,data3,data4,data5,data6,data7
2,9.02426973011188,Finance and Banking,Type,0,Safe,022S
4,6.75073302337705,University Phishing Emails,Type,0,Scam,055
4,6.85636909252617,Security,Social Proof,0,Scam,002253c
4,6.84526252738169,Financial,Perceptual Contrast,0,Safe,020111S
1,13.1734244834606,Legal,Social Proof,0,Safe,025052S
3,7.16972075158174,General,Type,0,Safe,039S
3,4.87457717822463,Social,Authority,0,Safe,009735aS
1,7.7198344136159,Finance and Banking,Type,0,Safe,032S
4,12.4804125238925,Ideological,Scarcity,1,Safe,010174aS 
4,6.108044255594,Ideological,Scarcity,1,Scam,010174a 
1,4.16715347467152,General,Type,0,Safe,009S
4,4.67336676768855,Social,Scarcity,0,Scam,025175
3,9.73175495305532,Legal,Authority,1,Scam,017432d 
2,17.8294507211494,General,Type,0,Safe,017S
3,10.8000391607297,Legal,Scarcity,0,Safe,026272S
4,6.4109806157694,University Phishing Emails,Type,0,Scam,081
4,9.7828074472859,Health,Commitment/Consistency,1,Scam,022046c
1,7.53216091487911,University Phishing Emails,Type,0,Scam,069
1,5.42931174024807,Job Offer,Type,0,Safe,038S
4,19.3540765029998,Ideological,Perceptual Contrast,0,Safe,027414S
4,5.82565404868683,Financial,Scarcity,0,Scam,005671f 
3,10.4709673130283,General,Type,1,Safe,026S
2,6.85553229652214,Social,Perceptual Contrast,1,Scam,027215
4,2.42065933571621,University Phishing Emails,Type,1,Scam,093
1,4.23854606528948,General,Type,0,Safe,021S
4,7.23610513465292,Legal,Scarcity,0,Safe,026172S
2,8.50116473404296,Social,Scarcity,1,Scam,025275
3,4.04741788897854,Health,Commitment/Consistency,0,Scam,007546c
4,21.9524799094543,Finance and Banking,Type,0,Scam,020
4,7.44130570605557,Ideological,Reciprocation,1,Safe,019224cS
1,3.00444427980483,Finance and Banking,Type,0,Safe,006S
1,9.62087551352988,General,Type,0,Safe,018S
4,3.94001627948592,Phishing Emails,Type,0,Scam,037
4,4.84246703337976,University Phishing Emails,Type,0,Scam,118
3,13.9235320597058,University Phishing Emails,Type,0,Scam,067
4,3.18728850642492,University Phishing Emails,Type,0,Scam,095
4,2.70269994049795,Lottery and Sweepstakes,Type,0,Scam,136
2,5.73887499557623,Ideological,Scarcity,0,Safe,008674eS
3,13.4904987271107,General,Type,1,Safe,010S
4,3.94436298821483,University Phishing Emails,Type,0,Scam,126
2,2.38544841516477,Ideological,Social Proof,0,Safe,008754eS
1,3.44494196505502,Social,Commitment/Consistency,0,Safe,029145S
1,5.08268040643816,General,Type,0,Safe,005S
4,6.52581052623191,Legal,Authority,0,Scam,012032b 
